Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2023-01-15,AAPL,BUY,10,150.25,1502.50,USD,1.08
2023-02-10,VWCE,BUY,50,85.20,4260.00,EUR,1.00
2023-03-05,GOOGL,BUY,5,95.40,477.00,USD,1.07
2023-03-20,AAPL,DIVIDEND,10,0.23,2.30,USD,1.06
2023-04-12,MSFT,BUY,8,280.75,2246.00,USD,1.09
2023-05-18,VWCE,DIVIDEND,50,1.85,92.50,EUR,1.00
2023-06-25,AAPL,SELL,5,175.80,879.00,USD,1.08
2023-07-10,TSLA,BUY,12,245.60,2947.20,USD,1.10
2023-08-15,VWCE,BUY,25,88.40,2210.00,EUR,1.00
2023-09-05,GOOGL,DIVIDEND,5,0.20,1.00,USD,1.07
2023-10-20,MSFT,SELL,4,295.30,1181.20,USD,1.06
2023-11-12,TSLA,SELL,8,220.15,1761.20,USD,1.08
2023-12-01,VWCE,DIVIDEND,75,1.90,142.50,EUR,1.00
2024-01-08,AAPL,BUY,8,185.40,1483.20,USD,1.11
2024-02-14,NVDA,BUY,6,720.50,4323.00,USD,1.08
2024-03-22,GOOGL,SELL,3,142.80,428.40,USD,1.09
2024-04-10,VWCE,BUY,30,92.75,2782.50,EUR,1.00
2024-05-15,AAPL,DIVIDEND,13,0.25,3.25,USD,1.08
2024-06-20,NVDA,SELL,2,890.25,1780.50,USD,1.07
2024-07-05,MSFT,BUY,5,415.60,2078.00,USD,1.09
2024-08-12,VWCE,DIVIDEND,105,2.10,220.50,EUR,1.00
2024-09-25,TSLA,BUY,10,185.30,1853.00,USD,1.10
2024-10-18,AAPL,SELL,8,225.40,1803.20,USD,1.08
2024-11-08,GOOGL,BUY,4,165.75,663.00,USD,1.08
2024-12-15,MSFT,DIVIDEND,9,0.75,6.75,USD,1.06
